HST Benennung,HT Benennung,UT Benennung,Karosserie,Neupreis Brutto,Produktgruppe,Kraftstoffart,Schadstoffklasse,CCM,KW,HST PS,Getriebeart,Getriebe Benennung,Anzahl der Türen,Leergewicht,Zuladung,Zulässiges GG,Länge,Breite,Höhe,CO2-Emissionen,Min Energieeffizienzklasse,Antrieb,KSTA Motor,HST-HT Benennung
Volkswagen,T6 Bus (SG)(05.2015->),Multivan Trendline,Bs        ,37962,T5-Klasse Pkw,BS,E6,1896,112,154,Schaltgetriebe,Getriebe 6-Gang,4,2211,905,2967.6156346708935,4852,1849,2019,218,D,FA        ,STANDARD ->B,Volkswagen-T6 Bus (SG)(05.2015->)
Volkswagen,T6 Bus (SG)(05.2015->),Multivan Comfortline,Bs        ,45294,T5-Klasse Pkw,BS,E6,1990,110,148,Schaltgetriebe,Getriebe 6-Gang,4,2243,753,3061.8487225536783,4859,1827,1938,218,D,FA        ,STANDARD ->B,Volkswagen-T6 Bus (SG)(05.2015->)
Volkswagen,T6 Bus (SG)(05.2015->),Multivan Generation Six,Bs        ,48675,T5-Klasse Pkw,BS,E6,1943,110,150,Schaltgetriebe,Getriebe 6-Gang,4,2282,768,3018.887413727754,4788,1823,1990,218,D,FA        ,STANDARD ->B,Volkswagen-T6 Bus (SG)(05.2015->)
Volkswagen,T6 Bus (SG)(05.2015->),Multivan 70 Jahre Bulli,Bs        ,47201,T5-Klasse Pkw,BS,E6,2013,110,153,Schaltgetriebe,Getriebe 6-Gang,4,1954,1007,3096.198902266773,4927,1952,1935,210,D,FA        ,STANDARD ->B,Volkswagen-T6 Bus (SG)(05.2015->)
Volkswagen,T6 Bus (SG)(05.2015->),Multivan Join,Bs        ,49453,T5-Klasse Pkw,BS,E6,1945,112,152,Schaltgetriebe,Getriebe 6-Gang,4,1984,972,3068.590854450294,4916,1872,2026,210,D,FA        ,STANDARD ->B,Volkswagen-T6 Bus (SG)(05.2015->)
Volkswagen,T6 Bus (SG)(05.2015->),Multivan PanAmericana,Bs        ,50795,T5-Klasse Pkw,BS,E6,1938,109,154,Schaltgetriebe,Getriebe 6-Gang,4,2266,823,3046.890760991201,4886,1895,1933,210,D,FA        ,STANDARD ->B,Volkswagen-T6 Bus (SG)(05.2015->)
Volkswagen,T6 Bus (SG)(05.2015->),Multivan Edition,Bs        ,51605,T5-Klasse Pkw,BS,E6,1956,111,152,Schaltgetriebe,Getriebe 6-Gang,4,2165,724,2957.0835107892303,4658,1946,1954,210,D,FA        ,STANDARD ->B,Volkswagen-T6 Bus (SG)(05.2015->)
Volkswagen,T6 Bus (SG)(05.2015->),Multivan Join lang,Bs        ,54560,T5-Klasse Pkw,BS,E6,1946,110,155,Schaltgetriebe,Getriebe 6-Gang,4,2127,960,3099.520813153321,5162,1883,2000,212,D,FA        ,STANDARD ->B,Volkswagen-T6 Bus (SG)(05.2015->)
Volkswagen,T6 Bus (SG)(05.2015->),Multivan Highline,Bs        ,57729,T5-Klasse Pkw,BS,E6,1966,106,154,Schaltgetriebe,Getriebe 6-Gang,4,2317,707,3033.0833913047786,4994,1871,1980,218,D,FA        ,STANDARD ->B,Volkswagen-T6 Bus (SG)(05.2015->)
Volkswagen,T6 Bus (SG)(05.2015->),Multivan Business,Bs        ,97850,T5-Klasse Pkw,BS,E6,2029,106,152,Schaltgetriebe,Getriebe 6-Gang,4,2362,605,3006.9767971978567,4948,1900,1931,218,D,FA        ,STANDARD ->B,Volkswagen-T6 Bus (SG)(05.2015->)
Volkswagen,T6 Bus (SG)(05.2015->),Multivan Comfortline,Bs        ,53518,T5-Klasse Pkw,BS,E6,2017,153,203,Automatikgetriebe,Getriebe 7-Gang - Doppelkupplungsgetriebe DSG,4,2309,807,3035.0617042892495,4850,1867,2019,213,D,FA        ,STANDARD ->B,Volkswagen-T6 Bus (SG)(05.2015->)
Volkswagen,T6 Bus (SG)(05.2015->),Multivan Generation Six,Bs        ,54915,T5-Klasse Pkw,BS,E6,1967,151,205,Automatikgetriebe,Getriebe 7-Gang - Doppelkupplungsgetriebe DSG,4,2262,790,3085.2809486073056,5012,1878,1926,213,D,FA        ,STANDARD ->B,Volkswagen-T6 Bus (SG)(05.2015->)
Volkswagen,T6 Bus (SG)(05.2015->),Multivan 70 Jahre Bulli,Bs        ,56126,T5-Klasse Pkw,BS,E6,1966,150,199,Automatikgetriebe,Getriebe 7-Gang - Doppelkupplungsgetriebe DSG,4,2117,1039,3079.0295379331014,4869,1870,2003,206,D,FA        ,STANDARD ->B,Volkswagen-T6 Bus (SG)(05.2015->)
Volkswagen,T6 Bus (SG)(05.2015->),Multivan Join,Bs        ,56889,T5-Klasse Pkw,BS,E6,1977,153,206,Automatikgetriebe,Getriebe 7-Gang - Doppelkupplungsgetriebe DSG,4,2009,996,3104.7627652367505,5075,1885,1980,206,D,FA        ,STANDARD ->B,Volkswagen-T6 Bus (SG)(05.2015->)
Volkswagen,T6 Bus (SG)(05.2015->),Multivan Comfortline 4Motion,Bs        ,54557,T5-Klasse Pkw,BS,E6,1964,150,204,Automatikgetriebe,Getriebe 7-Gang - Doppelkupplungsgetriebe DSG,4,2408,707,3157.991139529715,4947,1975,2005,218,D,A         ,STANDARD ->B,Volkswagen-T6 Bus (SG)(05.2015->)
Volkswagen,T6 Bus (SG)(05.2015->),Multivan PanAmericana,Bs        ,56155,T5-Klasse Pkw,BS,E6,2031,149,202,Automatikgetriebe,Getriebe 7-Gang - Doppelkupplungsgetriebe DSG,4,2322,789,3006.2140223741867,4790,1881,2009,206,D,FA        ,STANDARD ->B,Volkswagen-T6 Bus (SG)(05.2015->)
